company,domain,careers_url
Cloudflare,cloudflare.com,https://www.cloudflare.com/careers/jobs/
Stripe,stripe.com,https://stripe.com/jobs/search
CrowdStrike,crowdstrike.com,https://www.crowdstrike.com/careers/
Datadog,datadoghq.com,https://careers.datadoghq.com/
Palo Alto Networks,paloaltonetworks.com,https://jobs.paloaltonetworks.com/en/search-jobs/
